case_id,case_type,complexity_score,evidence_count,witness_count,lawyer_count,adjournment_history,judge_id,court_id,filing_date,priority_level,estimated_duration,adjourned_today
C1000,commercial,7,53,4,2,1,J4,CR1,2020,medium,108,no
C1001,civil,5,50,4,2,4,J8,CR3,2022,high,109,no
C1002,commercial,6,55,5,2,0,J18,CR2,2020,low,100,no
C1003,civil,3,21,1,1,1,J1,CR2,2020,high,45,no
C1004,commercial,7,52,4,2,2,J20,CR1,2021,low,114,no
C1005,commercial,8,60,5,3,1,J18,CR7,2023,medium,125,yes
C1006,commercial,10,77,5,3,5,J9,CR1,2023,low,173,no
C1007,civil,9,76,4,2,7,J14,CR6,2019,high,172,yes
C1008,civil,9,67,3,1,5,J11,CR2,2020,medium,150,yes
C1009,civil,5,44,2,2,3,J12,CR6,2018,medium,90,no
C1010,civil,2,14,0,2,3,J15,CR9,2023,high,41,yes
C1011,criminal,1,3,0,3,0,J3,CR9,2018,medium,30,no
C1012,commercial,7,55,5,2,2,J20,CR6,2021,low,120,no
C1013,commercial,7,57,7,3,1,J3,CR1,2022,low,125,no
C1014,criminal,4,32,2,3,3,J3,CR4,2023,medium,76,no
C1015,criminal,4,37,2,2,3,J9,CR8,2021,low,78,no
C1016,criminal,1,12,0,1,1,J6,CR6,2023,medium,30,no
C1017,commercial,9,73,7,3,4,J9,CR2,2021,low,167,yes
C1018,civil,6,49,0,2,3,J18,CR4,2021,low,90,yes
C1019,criminal,7,55,0,1,3,J9,CR9,2018,low,101,yes
C1020,criminal,2,12,1,1,3,J2,CR4,2023,low,45,no
C1021,criminal,10,72,6,3,6,J13,CR5,2018,medium,182,yes
C1022,commercial,8,65,3,3,2,J11,CR4,2018,low,123,no
C1023,criminal,6,48,4,3,3,J15,CR3,2021,low,110,yes
C1024,civil,3,21,3,1,2,J18,CR9,2019,high,61,yes
C1025,commercial,9,67,3,3,5,J14,CR10,2018,medium,150,yes
C1026,civil,1,6,0,2,2,J5,CR9,2018,low,30,no
C1027,civil,3,24,2,2,2,J4,CR3,2023,medium,58,no
C1028,commercial,8,67,5,3,4,J14,CR10,2023,medium,146,yes
C1029,criminal,9,65,2,3,4,J20,CR8,2020,medium,138,yes
C1030,commercial,1,11,5,3,0,J1,CR2,2023,high,38,no
C1031,commercial,3,19,1,3,3,J9,CR6,2022,medium,56,yes
C1032,criminal,1,11,0,3,3,J6,CR8,2018,high,31,yes
C1033,commercial,5,41,2,2,3,J9,CR9,2022,medium,88,no
C1034,commercial,5,41,2,4,0,J4,CR5,2018,low,70,no
C1035,commercial,2,13,2,3,1,J20,CR4,2020,medium,38,yes
C1036,civil,8,67,2,1,4,J18,CR9,2019,low,131,no
C1037,commercial,8,58,5,4,6,J11,CR8,2022,low,154,yes
C1038,criminal,10,81,5,1,2,J10,CR4,2023,medium,157,yes
C1039,commercial,3,26,0,3,0,J3,CR2,2023,low,37,no
C1040,civil,10,71,5,2,4,J18,CR3,2019,high,164,yes
C1041,criminal,6,50,0,1,3,J18,CR3,2021,low,91,yes
C1042,commercial,5,46,2,3,6,J14,CR4,2021,low,109,no
C1043,commercial,2,19,0,2,1,J7,CR5,2020,medium,31,no
C1044,commercial,7,52,2,3,4,J12,CR8,2022,low,116,no
C1045,criminal,10,84,4,2,3,J4,CR4,2023,medium,160,yes
C1046,criminal,8,64,4,1,4,J1,CR10,2023,medium,140,yes
C1047,commercial,3,32,0,2,0,J8,CR1,2023,low,40,yes
C1048,commercial,5,38,1,3,2,J2,CR4,2019,medium,76,yes
C1049,civil,5,49,0,2,2,J11,CR2,2022,low,76,no
C1050,criminal,10,80,6,1,6,J16,CR4,2019,low,186,yes
